kind,objective,mode,n,wavelengths_nm,coverage,power
white_0.55,white,real,4,450 503 528 630,0.757084,4.406662
white_0.68,white,real,4,450 503 529 630,0.758193,4.413278
white_0.80,white,real,4,448 503 529 630,0.759221,4.427448
white_0.88,white,real,4,444 503 531 640,0.776995,4.838760
white_0.95,white,real,4,440 503 532 650,0.787475,5.571330
white_0.42,white,real,5,450 502 527 567 700,0.813559,4.378684
white_0.55,white,real,5,450 502 527 567 700,0.813559,4.378684
white_0.68,white,real,5,450 502 526 567 700,0.814028,4.382546
white_0.80,white,real,5,448 501 525 566 700,0.815227,4.384207
white_0.88,white,real,5,445 501 525 566 700,0.816676,4.420072
white_0.95,white,real,5,435 497 516 540 650,0.834626,5.883204
white_0.42,white,real,6,450 502 525 565 626 700,0.814650,4.358408
white_0.55,white,real,6,450 487 505 527 567 700,0.846779,4.378684
white_0.68,white,real,6,449 487 505 526 566 700,0.847452,4.374771
white_0.80,white,real,6,445 487 505 525 566 700,0.850324,4.420072
white_0.88,white,real,6,442 489 505 527 566 700,0.853191,4.462428
white_0.95,white,real,6,433 486 504 518 540 650,0.860983,5.963326
white_0.42,white,real,7,450 489 505 527 540 626 700,0.857478,4.389535
white_0.55,white,real,7,450 489 505 518 535 567 700,0.866797,4.382475
white_0.68,white,real,7,449 489 505 518 536 566 700,0.867495,4.374806
white_0.80,white,real,7,445 488 504 518 536 566 700,0.870710,4.418167
white_0.88,white,real,7,380 449 489 505 527 566 700,0.866435,4.374650
white_0.95,white,real,7,435 485 503 517 536 571 700,0.877430,4.789592
white_0.42,white,real,8,450 488 503 516 533 565 626 700,0.865956,4.358408
white_0.55,white,real,8,380 450 488 503 516 533 567 700,0.885436,4.380820
white_0.68,white,real,8,380 449 488 503 516 533 566 700,0.884935,4.374719
white_0.80,white,real,8,380 449 488 503 516 533 566 700,0.884935,4.374719
white_0.88,white,real,8,380 449 488 503 516 533 566 700,0.884935,4.374719
white_0.95,white,real,8,380 452 487 504 518 536 570 700,0.887368,4.461639
white_0.42,white,real,9,380 450 487 503 516 533 565 626 700,0.885387,4.358408
white_0.55,white,real,9,380 450 487 502 514 527 540 567 700,0.891967,4.378684
white_0.68,white,real,9,380 450 487 502 514 527 540 567 700,0.891967,4.378684
white_0.80,white,real,9,380 450 487 502 514 527 540 567 700,0.891967,4.378684
white_0.88,white,real,9,380 449 480 496 503 516 535 566 700,0.892295,4.374771
white_0.95,white,real,9,380 452 480 495 505 519 537 570 700,0.896777,4.466373
white_0.42,white,real,10,380 450 487 502 514 526 540 565 626 700,0.891964,4.358408
white_0.55,white,real,10,380 450 487 502 514 526 540 565 626 700,0.891964,4.358408
white_0.68,white,real,10,380 450 487 502 514 527 540 580 627 700,0.896725,4.388268
white_0.80,white,real,10,380 450 487 502 514 527 540 580 627 700,0.896725,4.388268
white_0.88,white,real,10,380 450 487 502 514 527 540 580 627 700,0.896725,4.388268
white_0.95,white,real,10,380 451 480 495 505 516 527 540 572 700,0.902171,4.462885
white_0.42,white,real,11,380 450 480 494 505 515 526 540 565 626 700,0.900324,4.358408
white_0.55,white,real,11,380 450 480 494 505 515 526 540 565 626 700,0.900324,4.358408
white_0.68,white,real,11,380 450 480 494 505 515 527 540 580 627 700,0.905179,4.388268
white_0.80,white,real,11,380 450 480 494 505 515 527 540 580 627 700,0.905179,4.388268
white_0.88,white,real,11,380 450 480 494 505 515 527 540 580 627 700,0.905179,4.388268
white_0.95,white,real,11,380 450 479 490 498 505 516 527 540 572 700,0.904828,4.451104
white_0.42,white,real,12,380 450 477 489 498 505 516 527 540 565 626 700,0.903153,4.358408
white_0.55,white,real,12,380 450 477 489 498 505 516 527 540 565 626 700,0.903153,4.358408
white_0.68,white,real,12,380 450 477 489 498 505 516 527 540 580 627 700,0.908053,4.388268
white_0.80,white,real,12,380 450 477 489 498 505 516 527 540 580 627 700,0.908053,4.388268
white_0.88,white,real,12,380 450 477 489 498 505 516 527 540 580 627 700,0.908053,4.388268
white_0.95,white,real,12,380 450 479 490 498 505 513 520 529 540 572 700,0.907392,4.452841
envelope_0.42,envelope,real,3,474 527 620,0.573142,5.915309
envelope_0.55,envelope,real,3,474 527 620,0.573142,5.915309
envelope_0.80,envelope,real,3,474 527 640,0.607051,6.544031
envelope_0.95,envelope,real,3,440 520 640,0.653093,7.552200
envelope_0.42,envelope,real,4,440 518 532 620,0.682047,5.535306
envelope_0.55,envelope,real,4,440 511 532 620,0.719101,5.773873
envelope_0.80,envelope,real,4,440 504 532 640,0.778522,6.784469
envelope_0.95,envelope,real,4,420 503 532 660,0.796229,12.157231
envelope_0.42,envelope,real,5,447 474 527 640 680,0.702436,6.375340
envelope_0.55,envelope,real,5,447 511 527 640 680,0.764820,6.300553
envelope_0.80,envelope,real,5,447 500 527 640 680,0.792559,6.792962
envelope_0.95,envelope,real,5,420 494 514 540 660,0.843703,12.393714
envelope_0.42,envelope,real,6,447 487 511 527 620 640,0.800808,6.072684
envelope_0.55,envelope,real,6,447 487 511 527 620 640,0.800808,6.072684
envelope_0.80,envelope,real,6,440 487 504 527 540 640,0.838691,6.448382
envelope_0.95,envelope,real,6,420 487 504 520 540 640,0.855125,9.115686
envelope_0.42,envelope,real,7,447 480 504 520 527 620 640,0.817734,5.965424
envelope_0.55,envelope,real,7,447 480 504 520 527 540 640,0.843869,6.177944
